19704.100000,259.800000,24492.900000,492.600000,1969.700000,439.100000,1.300000,245.000000,200.400000,6.700000,5.100000,15.800000,4.800000,5.100000,2.600000,7.000000,3.700000,472.700000,58.400000,1021.600000,4466.100000,1883.300000,217.200000,34.200000,23.200000,269.200000,433.800000,55.500000,542.200000,279.500000,141.700000,449.300000,752.700000,0.000000,9825.900000,0.000000,803.400000,5779.700000,607.800000,24.700000,31.400000,15943.000000,-4035.300000
99.800000,22263.900000,443.000000,12.100000,65.200000,397.700000,5330.800000,1140.900000,15.100000,2602.100000,15079.600000,170.700000,85.400000,57.200000,87.600000,70.500000,45.900000,158.900000,4352.100000,2268.800000,3447.500000,340.000000,918.300000,125.600000,89.500000,501.200000,98.400000,201.800000,937.400000,247.500000,86.100000,209.500000,153.000000,0.000000,3547.300000,0.000000,178.800000,10076.000000,1232.900000,31.200000,0.000000,134378.800000,-24728.200000
1711.600000,250.700000,10833.900000,315.000000,45.800000,463.900000,11.500000,672.700000,16.700000,39.600000,40.500000,50.500000,27.900000,32.600000,21.300000,41.500000,31.400000,42.800000,100.100000,596.000000,6442.200000,11139.900000,448.200000,169.600000,41.200000,265.500000,68.000000,198.300000,892.700000,542.500000,401.300000,1810.100000,1483.000000,0.000000,57027.300000,0.000000,60.700000,654.000000,381.700000,1496.300000,1400.400000,12567.600000,-15537.700000
121.400000,134.000000,129.200000,744.700000,12.600000,140.600000,3.300000,89.000000,13.300000,70.800000,22.800000,171.100000,31.100000,49.700000,25.600000,48.700000,97.600000,348.200000,46.800000,374.700000,461.200000,138.300000,328.800000,89.900000,7.000000,52.000000,31.300000,50.500000,237.200000,318.200000,85.300000,637.000000,380.000000,0.000000,8770.400000,0.000000,7.900000,576.000000,57.100000,70.300000,601.800000,741.000000,-9108.300000
88.400000,97.000000,72.700000,26.600000,1174.100000,387.700000,6.200000,28.200000,7.500000,36.100000,28.400000,141.600000,33.000000,20.700000,12.300000,26.000000,206.600000,1640.100000,45.100000,9660.200000,524.200000,57.300000,245.000000,66.600000,14.700000,273.500000,23.100000,37.400000,178.800000,75.100000,185.900000,63.300000,67.000000,0.000000,593.000000,0.000000,23.400000,471.200000,78.900000,6.200000,45.100000,1056.800000,-1528.600000
203.500000,395.700000,2650.300000,62.000000,225.200000,20505.800000,7.800000,691.700000,104.200000,335.400000,47.600000,354.300000,182.600000,204.400000,125.700000,197.800000,76.500000,120.600000,236.800000,2091.100000,7606.800000,843.400000,1899.500000,1531.400000,720.200000,1079.500000,701.800000,765.800000,6215.500000,3401.400000,2462.700000,1521.500000,1920.000000,0.000000,15509.700000,0.000000,187.000000,2951.300000,416.600000,23.100000,26.900000,1551.600000,-9410.700000
463.500000,584.000000,88.300000,11.400000,25.600000,75.300000,125.100000,182.400000,5.100000,66.300000,88.400000,83.300000,15.500000,12.400000,13.000000,41.400000,22.200000,22.700000,124.800000,1003.500000,589.600000,267.200000,2084.800000,134.400000,309.000000,337.800000,99.700000,27.200000,253.700000,177.700000,19.300000,101.800000,87.600000,0.000000,12950.000000,0.000000,1.500000,4489.300000,28.700000,1106.700000,532.100000,2467.100000,-19377.000000
1908.000000,658.600000,836.600000,72.400000,218.300000,1706.200000,43.000000,2956.400000,230.000000,358.100000,71.300000,298.400000,133.200000,354.900000,255.500000,513.600000,176.500000,523.000000,450.900000,4033.200000,1029.200000,253.000000,827.100000,329.500000,20.700000,908.300000,164.100000,123.900000,1138.500000,322.000000,180.200000,1475.300000,711.000000,0.000000,12417.100000,0.000000,24.800000,883.600000,71.700000,101.000000,348.200000,9611.500000,-18216.300000
213.000000,542.900000,73.100000,28.600000,20.900000,200.900000,5.500000,188.400000,2428.400000,25.100000,32.000000,81.300000,605.800000,136.900000,69.500000,552.500000,191.600000,212.600000,278.000000,1008.800000,576.900000,225.000000,180.600000,256.400000,4.600000,42.800000,20.100000,128.200000,589.300000,2888.900000,100.600000,703.500000,276.000000,0.000000,658.200000,0.000000,10.000000,2158.500000,449.500000,8.100000,12.400000,1016.000000,-7919.000000
76.500000,152.500000,356.600000,7.800000,56.600000,67.800000,4.300000,140.700000,4.900000,2589.800000,64.000000,443.900000,94.800000,79.400000,76.800000,442.000000,97.700000,135.700000,269.200000,13926.400000,659.100000,103.800000,142.000000,24.300000,19.300000,233.800000,77.700000,56.500000,277.400000,97.300000,42.400000,105.400000,125.000000,0.000000,1254.300000,0.000000,27.300000,211.700000,113.900000,2.700000,6.500000,334.800000,-2050.000000
22.000000,473.800000,36.400000,22.700000,80.500000,112.700000,19.800000,66.100000,5.600000,188.500000,3333.800000,5520.600000,1458.500000,909.900000,1175.300000,922.100000,876.700000,1299.700000,204.200000,2991.300000,923.800000,36.500000,99.400000,39.800000,12.700000,173.900000,27.500000,40.600000,207.200000,82.500000,26.500000,130.900000,49.000000,0.000000,288.600000,0.000000,20.800000,263.600000,110.600000,22.000000,22.700000,26434.200000,-13075.800000
306.800000,1935.600000,467.300000,15.700000,500.300000,394.200000,9.000000,303.600000,22.300000,442.400000,253.400000,4544.100000,1322.600000,295.000000,531.600000,531.700000,690.300000,533.800000,571.000000,14382.500000,1144.700000,264.300000,1031.800000,467.500000,37.600000,551.900000,72.600000,130.600000,645.600000,638.200000,372.700000,382.400000,344.900000,0.000000,2011.700000,0.000000,50.500000,5703.300000,182.400000,18.900000,61.900000,1280.600000,-7320.600000
